0.500 0.0373
0.550 0.0553
0.600 0.0770
0.650 0.1100
0.700 0.1520
0.750 0.1903
0.800 0.2423
0.850 0.2870
0.900 0.3330
0.950 0.3857
1.000 0.4373
1.050 0.4873
1.100 0.5330
1.150 0.5897
1.200 0.6397
1.250 0.6890
1.300 0.7417
1.350 0.7880
1.400 0.8410
1.450 0.8913
1.500 0.9440
1.550 0.9920
1.600 1.0460
1.650 1.0947
1.700 1.1463
1.750 1.1977
1.800 1.2467
1.850 1.2980
1.900 1.3470
1.950 1.3963
2.000 1.4467
2.050 1.4953
2.100 1.5483
2.150 1.5970
2.200 1.6467
2.250 1.6953
2.300 1.7477
2.350 1.7950
2.400 1.8467
2.450 1.8950
2.500 1.9467
2.550 1.9940
2.600 2.0457
2.650 2.0940
2.700 2.1430
2.750 2.1947
2.800 2.2417
2.850 2.2933
2.900 2.3433
2.950 2.3913
3.000 2.4400
