0.500 0.0000
0.550 0.0000
0.600 0.0000
0.650 0.0000
0.700 0.0000
0.750 0.0000
0.800 0.0000
0.850 0.0000
0.900 0.0000
0.950 0.0000
1.000 0.0000
1.050 0.3287
1.100 0.4173
1.150 0.4913
1.200 0.5583
1.250 0.6210
1.300 0.6823
1.350 0.7407
1.400 0.8000
1.450 0.8547
1.500 0.9090
1.550 0.9660
1.600 1.0203
1.650 1.0750
1.700 1.1233
1.750 1.1763
1.800 1.2343
1.850 1.2820
1.900 1.3333
1.950 1.3887
2.000 1.4387
2.050 1.4923
2.100 1.5383
2.150 1.6000
2.200 1.6527
2.250 1.6947
2.300 1.7543
2.350 1.8017
2.400 1.8517
2.450 1.9047
2.500 1.9607
2.550 2.0000
2.600 2.0617
2.650 2.1050
2.700 2.1503
2.750 2.1977
2.800 2.2470
2.850 2.2987
2.900 2.3527
2.950 2.4093
3.000 2.4690
