-1.1771 0.0000
-1.1312 0.0000
-1.0854 0.0000
-1.0396 0.0000
-0.9937 0.0000
-0.9479 0.0000
-0.9021 0.0000
-0.8562 0.0000
-0.8104 0.0000
-0.7646 0.0000
-0.7188 0.0000
-0.6729 0.0000
-0.6271 0.0000
-0.5812 0.0000
-0.5354 0.0000
-0.4896 0.0000
-0.4437 0.0000
-0.3979 0.0000
-0.3521 0.0000
-0.3062 0.0000
-0.2604 0.0001
-0.2146 0.0013
-0.1687 0.0026
-0.1229 0.0102
-0.0771 0.0367
-0.0312 0.1371
0.0146 0.2976
0.0604 0.3589
0.1063 0.3790
0.1521 0.4091
0.1979 0.4479
0.2438 0.4846
0.2896 0.5294
0.3354 0.6111
0.3813 0.6871
0.4271 0.8217
0.4729 0.9843
0.5188 1.1857
0.5646 1.4393
0.6104 1.6932
0.6563 1.8637
0.7021 1.9487
0.7479 1.9260
0.7938 1.7953
0.8396 1.5344
0.8854 1.1495
0.9313 0.7474
0.9771 0.3362
